,BTC_close
2016-05-29,516.05
2016-05-30,532.26
2016-05-31,528.92
2016-06-01,537.4
2016-06-02,537.1
2016-06-03,567.03
2016-06-04,571.95
2016-06-05,574.91
2016-06-06,583.58
2016-06-07,575.58
2016-06-08,580.51
2016-06-09,574.69
2016-06-10,577.89
2016-06-11,591.6
2016-06-12,666.55
2016-06-13,700.07
2016-06-14,685.14
2016-06-15,690.77
2016-06-16,761.21
2016-06-17,743.9
2016-06-18,753.77
2016-06-19,761.04
2016-06-20,733.97
2016-06-21,667.38
2016-06-22,590.56
2016-06-23,620.84
2016-06-24,656.89
2016-06-25,663.52
2016-06-26,625.41
2016-06-27,644.66
2016-06-28,644.89
2016-06-29,636.54
2016-06-30,670.02
2016-07-01,674.57
2016-07-02,698.06
2016-07-03,661.64
2016-07-04,675.16
2016-07-05,663.67
2016-07-06,672.7
2016-07-07,635.25
2016-07-08,662.78
2016-07-09,651.83
2016-07-10,647.11
2016-07-11,646.71
2016-07-12,670.56
2016-07-13,661.15
2016-07-14,657.25
2016-07-15,664.2
2016-07-16,660.69
2016-07-17,676.33
2016-07-18,670.38
2016-07-19,671.1
2016-07-20,664.4
2016-07-21,664.62
2016-07-22,651.11
2016-07-23,655.16
2016-07-24,659.29
2016-07-25,654.0
2016-07-26,654.38
2016-07-27,654.54
2016-07-28,654.13
2016-07-29,655.43
2016-07-30,654.74
2016-07-31,621.87
2016-08-01,607.0
2016-08-02,513.43
2016-08-03,566.44
2016-08-04,576.22
2016-08-05,574.66
2016-08-06,586.45
2016-08-07,590.85
2016-08-08,589.24
2016-08-09,585.25
2016-08-10,590.94
2016-08-11,587.84
2016-08-12,587.14
2016-08-13,584.59
2016-08-14,569.06
2016-08-15,566.95
2016-08-16,580.19
2016-08-17,572.34
2016-08-18,573.39
2016-08-19,574.56
2016-08-20,582.61
2016-08-21,580.66
2016-08-22,587.47
2016-08-23,583.56
2016-08-24,579.66
2016-08-25,577.96
2016-08-26,579.37
2016-08-27,570.35
2016-08-28,574.98
2016-08-29,574.23
2016-08-30,577.32
2016-08-31,573.88
2016-09-01,571.99
2016-09-02,575.29
2016-09-03,598.84
2016-09-04,609.55
2016-09-05,605.76
2016-09-06,610.44
2016-09-07,613.21
2016-09-08,625.57
2016-09-09,623.16
2016-09-10,624.52
2016-09-11,605.61
2016-09-12,607.98
2016-09-13,608.61
2016-09-14,609.54
2016-09-15,608.11
2016-09-16,607.78
2016-09-17,607.08
2016-09-18,610.7
2016-09-19,609.85
2016-09-20,609.24
2016-09-21,597.16
2016-09-22,595.63
2016-09-23,602.92
2016-09-24,602.59
2016-09-25,601.49
2016-09-26,606.54
2016-09-27,605.47
2016-09-28,604.67
2016-09-29,604.7
2016-09-30,608.14
2016-10-01,613.41
2016-10-02,610.69
2016-10-03,611.6
2016-10-04,608.96
2016-10-05,611.82
2016-10-06,610.97
2016-10-07,616.03
2016-10-08,617.65
2016-10-09,615.77
2016-10-10,617.29
2016-10-11,640.45
2016-10-12,635.99
2016-10-13,635.6
2016-10-14,637.92
2016-10-15,637.03
2016-10-16,640.12
2016-10-17,637.37
2016-10-18,635.34
2016-10-19,629.06
2016-10-20,628.34
2016-10-21,630.45
2016-10-22,655.48
2016-10-23,653.03
2016-10-24,650.49
2016-10-25,651.0
2016-10-26,674.67
2016-10-27,682.3
2016-10-28,686.24
2016-10-29,714.95
2016-10-30,697.27
2016-10-31,698.67
2016-11-01,726.76
2016-11-02,733.51
2016-11-03,684.87
2016-11-04,702.08
2016-11-05,702.11
2016-11-06,709.91
2016-11-07,705.4
2016-11-08,710.9
2016-11-09,721.42
2016-11-10,714.57
2016-11-11,714.97
2016-11-12,704.27
2016-11-13,701.97
2016-11-14,704.56
2016-11-15,711.1
2016-11-16,740.28
2016-11-17,737.53
2016-11-18,746.96
2016-11-19,747.89
2016-11-20,728.51
2016-11-21,736.19
2016-11-22,749.34
2016-11-23,741.07
2016-11-24,735.31
2016-11-25,740.39
2016-11-26,734.14
2016-11-27,729.42
2016-11-28,733.3
2016-11-29,732.56
2016-11-30,742.49
2016-12-01,752.63
2016-12-02,770.94
2016-12-03,764.24
2016-12-04,766.39
2016-12-05,754.34
2016-12-06,758.21
2016-12-07,765.56
2016-12-08,768.49
2016-12-09,770.48
2016-12-10,774.0
2016-12-11,767.91
2016-12-12,778.47
2016-12-13,778.74
2016-12-14,776.5
2016-12-15,775.21
2016-12-16,782.05
2016-12-17,787.17
2016-12-18,789.01
2016-12-19,789.79
2016-12-20,799.1
2016-12-21,829.21
2016-12-22,860.15
2016-12-23,917.17
2016-12-24,891.07
2016-12-25,891.07
2016-12-26,898.38
2016-12-27,925.78
2016-12-28,972.17
2016-12-29,971.08
2016-12-30,959.04
2016-12-31,963.38
2017-01-01,995.44
2017-01-02,1017.05
2017-01-03,1033.3
2017-01-04,1135.41
2017-01-05,989.35
2017-01-06,886.16
2017-01-07,888.87
2017-01-08,900.86
2017-01-09,899.78
2017-01-10,904.37
2017-01-11,785.43
2017-01-12,810.11
2017-01-13,824.83
2017-01-14,819.63
2017-01-15,821.17
2017-01-16,827.34
2017-01-17,899.66
2017-01-18,872.03
2017-01-19,895.21
2017-01-20,892.91
2017-01-21,919.84
2017-01-22,918.84
2017-01-23,921.46
2017-01-24,893.75
2017-01-25,894.41
2017-01-26,915.56
2017-01-27,918.01
2017-01-28,918.51
2017-01-29,914.55
2017-01-30,920.73
2017-01-31,965.49
2017-02-01,982.43
2017-02-02,1003.97
2017-02-03,1013.02
2017-02-04,1031.85
2017-02-05,1016.11
2017-02-06,1024.67
2017-02-07,1049.56
2017-02-08,1055.49
2017-02-09,978.96
2017-02-10,997.61
2017-02-11,1008.32
2017-02-12,996.52
2017-02-13,995.36
2017-02-14,1008.34
2017-02-15,1008.19
2017-02-16,1031.93
2017-02-17,1049.41
2017-02-18,1052.28
2017-02-19,1048.89
2017-02-20,1077.56
2017-02-21,1119.03
2017-02-22,1120.46
2017-02-23,1171.91
2017-02-24,1176.49
2017-02-25,1149.05
2017-02-26,1171.58
2017-02-27,1188.83
2017-02-28,1189.27
2017-03-01,1222.66
2017-03-02,1255.47
2017-03-03,1283.3
2017-03-04,1264.32
2017-03-05,1271.22
2017-03-06,1277.01
2017-03-07,1232.69
2017-03-08,1146.97
2017-03-09,1191.33
2017-03-10,1112.39
2017-03-11,1179.22
2017-03-12,1225.11
2017-03-13,1238.19
2017-03-14,1243.14
2017-03-15,1253.43
2017-03-16,1172.88
2017-03-17,1071.71
2017-03-18,971.38
2017-03-19,1022.6
2017-03-20,1047.51
2017-03-21,1121.29
2017-03-22,1044.72
2017-03-23,1035.03
2017-03-24,939.7
2017-03-25,966.3
2017-03-26,969.44
2017-03-27,1045.14
2017-03-28,1044.42
2017-03-29,1041.9
2017-03-30,1037.91
2017-03-31,1079.11
2017-04-01,1086.12
2017-04-02,1097.4
2017-04-03,1147.56
2017-04-04,1141.77
2017-04-05,1129.87
2017-04-06,1188.7
2017-04-07,1190.49
2017-04-08,1180.78
2017-04-09,1204.34
2017-04-10,1206.71
2017-04-11,1220.74
2017-04-12,1212.53
2017-04-13,1176.2
2017-04-14,1177.33
2017-04-15,1176.99
2017-04-16,1176.8
2017-04-17,1194.01
2017-04-18,1206.09
2017-04-19,1215.2
2017-04-20,1238.09
2017-04-21,1249.64
2017-04-22,1240.89
2017-04-23,1249.14
2017-04-24,1248.18
2017-04-25,1264.31
2017-04-26,1286.63
2017-04-27,1332.91
2017-04-28,1329.62
2017-04-29,1336.28
2017-04-30,1351.91
2017-05-01,1415.81
2017-05-02,1445.93
2017-05-03,1485.55
2017-05-04,1516.76
2017-05-05,1507.77
